,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,address
40,-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States"
41,-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States"
42,-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,"5321, Claremont Avenue, Temescal, North Oakland, Oakland, Alameda County, California, 94609, United States"
43,-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,"5321, Claremont Avenue, Temescal, North Oakland, Oakland, Alameda County, California, 94609, United States"
44,-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States"
45,-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States"
46,-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,"4130, Webster Street, Mosswood, North Oakland, Oakland, Alameda County, California, 94609, United States"
47,-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States"
48,-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,"45, Randwick Avenue, Broadway Auto Row, North Oakland, Oakland, Alameda County, California, 94609, United States"
49,-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States"
50,-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States"
51,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States"
52,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States"
53,-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,"Grove Shafter Freeway, Hoover-Foster, North Oakland, Oakland, Alameda County, California, 94609, United States"
54,-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States"
55,-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States"
56,-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States"
57,-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States"
58,-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,"2801, Linden Street, Hoover-Foster, West Oakland, Oakland, Alameda County, California, 94608, United States"
59,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,"1688, 24th Street, West Oakland, Oakland, Alameda County, California, 94608, United States"
60,-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,"4070, Halleck Street, Oakland, Alameda County, California, 94608, United States"
61,-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,"1688, 24th Street, West Oakland, Oakland, Alameda County, California, 94608, United States"
62,-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
63,-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States"
64,-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States"
65,-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States"
66,-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States"
67,-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,"Magnolia Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
68,-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,"1737, 10th Street, Lower Bottoms, West Oakland, Oakland, Alameda County, California, 94607, United States"
69,-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
70,-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
71,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
72,-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
73,-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
74,-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
75,-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States"
76,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States"
77,-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States"
78,-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,"1302;1312, Kirkham Street, South Prescott, West Oakland, Oakland, Alameda County, California, 94607, United States"
79,-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,"431, Martin Luther King Junior Way, Old Oakland Historic District, Downtown Oakland, Oakland, Alameda County, California, 94607, United States"
80,-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States"
81,-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,"Great Western Power Company, 520, Thomas L. Berkley Way, Uptown, Downtown Oakland, Oakland, Alameda County, California, 94612, United States"
82,-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States"
83,-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States"
84,-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States"
85,-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,"Bay Wheels, Market Street, San Pablo Gateway, West Oakland, Oakland, Alameda County, California, 94607, United States"
86,-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,"Great Western Power Company, 520, Thomas L. Berkley Way, Uptown, Downtown Oakland, Oakland, Alameda County, California, 94612, United States"
87,-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,"Great Western Power Company, 520, Thomas L. Berkley Way, Uptown, Downtown Oakland, Oakland, Alameda County, California, 94612, United States"
88,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,"Shoong Family Chinese Cultural Center, 316, 9th Street, Chinatown, Downtown Oakland, Oakland, Alameda County, California, 94607, United States"
89,-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,"Shoong Family Chinese Cultural Center, 316, 9th Street, Chinatown, Downtown Oakland, Oakland, Alameda County, California, 94607, United States"
90,-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,"Shoong Family Chinese Cultural Center, 316, 9th Street, Chinatown, Downtown Oakland, Oakland, Alameda County, California, 94607, United States"
91,-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,"431, Martin Luther King Junior Way, Old Oakland Historic District, Downtown Oakland, Oakland, Alameda County, California, 94607, United States"
92,-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,"431, Martin Luther King Junior Way, Old Oakland Historic District, Downtown Oakland, Oakland, Alameda County, California, 94607, United States"
93,-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,"Eve's Waterfront, 15, Embarcadero West, Jack London Square, Downtown Oakland, Oakland, Alameda County, California, 94607, United States"
94,-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,"Shoong Family Chinese Cultural Center, 316, 9th Street, Chinatown, Downtown Oakland, Oakland, Alameda County, California, 94607, United States"
95,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,"Lake Merritt Amphitheater, Channel Path, Eastlake, Downtown Oakland, Oakland, Alameda County, California, 94606, United States"
96,-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,"45, Randwick Avenue, Broadway Auto Row, North Oakland, Oakland, Alameda County, California, 94609, United States"
97,-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,"230, Grand Avenue, Adams Point, Downtown Oakland, Oakland, Alameda County, California, 94610, United States"
98,-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,"45, Randwick Avenue, Broadway Auto Row, North Oakland, Oakland, Alameda County, California, 94609, United States"
99,-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,"45, Randwick Avenue, Broadway Auto Row, North Oakland, Oakland, Alameda County, California, 94609, United States"
100,-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States"
101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States"
102,-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,237500.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States"
103,-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States"
104,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,"230, Grand Avenue, Adams Point, Downtown Oakland, Oakland, Alameda County, California, 94610, United States"
105,-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,"114, Magnolia Avenue, Piedmont, Alameda County, California, 94610, United States"
106,-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY,"690, Longridge Road, Lakeshore, Oakland, Alameda County, California, 94610, United States"
107,-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY,"431, Lagunitas Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States"
108,-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,"114, Magnolia Avenue, Piedmont, Alameda County, California, 94610, United States"
109,-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,"612, Mariposa Avenue, Harrison/Oakland, North Oakland, Oakland, Alameda County, California, 94610, United States"
110,-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY,"612, Mariposa Avenue, Harrison/Oakland, North Oakland, Oakland, Alameda County, California, 94610, United States"
111,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,"612, Mariposa Avenue, Harrison/Oakland, North Oakland, Oakland, Alameda County, California, 94610, United States"
112,-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,"612, Mariposa Avenue, Harrison/Oakland, North Oakland, Oakland, Alameda County, California, 94610, United States"
113,-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States"
114,-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States"
115,-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States"
116,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States"
117,-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,"190, John Street, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94609, United States"
118,-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY,"241, Florence Avenue, Upper Rockridge, Oakland, Alameda County, California, 94618, United States"
119,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,NEAR BAY,"241, Florence Avenue, Upper Rockridge, Oakland, Alameda County, California, 94618, United States"
120,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,NEAR BAY,"161, Ronada Avenue, Piedmont, Alameda County, California, 94611, United States"
121,-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,NEAR BAY,"Grove Shafter Freeway, Upper Rockridge, Oakland, Alameda County, California, 94618, United States"
122,-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,"Warren Freeway, Upper Rockridge, Oakland, Alameda County, California, 94618, United States"
123,-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,NEAR BAY,"Claremont Country Club, 5295, View Place, Piedmont Avenue, North Oakland, Oakland, Alameda County, California, 94618, United States"
124,-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY,"Grove Shafter Freeway, Upper Rockridge, Oakland, Alameda County, California, 94618, United States"
125,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,NEAR BAY,"Caldecott Flow, Oakland, Alameda County, California, 94618, United States"
126,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY,"6925, Broadway Terrace, Oakland, Alameda County, California, 94618, United States"
127,-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,NEAR BAY,"6123, Thornhill Drive, Oakland, Alameda County, California, 94611, United States"
128,-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,NEAR BAY,"1816, Magellan Drive, Montclair, Oakland, Alameda County, California, 94611, United States"
129,-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,NEAR BAY,"6519, Oakwood Drive, Oakland, Alameda County, California, 94611, United States"
130,-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,NEAR BAY,"6123, Thornhill Drive, Oakland, Alameda County, California, 94611, United States"
131,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0,NEAR BAY,"Upper Huckleberry Loop Trail, Contra Costa County, California, 94516, United States"
132,-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,NEAR BAY,"6519, Oakwood Drive, Oakland, Alameda County, California, 94611, United States"
133,-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,333300.0,NEAR BAY,"1816, Magellan Drive, Montclair, Oakland, Alameda County, California, 94611, United States"
134,-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,335200.0,NEAR BAY,"6210, Elderberry Drive, Oakland, Alameda County, California, 94516, United States"
135,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,351200.0,NEAR BAY,"Shepherd Canyon Trail, Montclair, Oakland, Alameda County, California, 94602, United States"
136,-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,NEAR BAY,"6210, Elderberry Drive, Oakland, Alameda County, California, 94516, United States"
137,-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,365900.0,NEAR BAY,"3082, Holyrood Drive, Piedmont Pines, Oakland, Alameda County, California, 94516, United States"
138,-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,NEAR BAY,"5620, Ascot Drive, Piedmont Pines, Oakland, Alameda County, California, 94602, United States"
139,-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,NEAR BAY,"5620, Ascot Drive, Piedmont Pines, Oakland, Alameda County, California, 94602, United States"
140,-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,483300.0,NEAR BAY,"Sunset Loop, Oakland Hills, Oakland, Alameda County, California, 94613, United States"
141,-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,NEAR BAY,"282, Somerset Road, Montclair, Oakland, Alameda County, California, 94602, United States"
142,-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,NEAR BAY,"Lincoln Avenue, Oakland, Alameda County, California, 94602, United States"
143,-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,NEAR BAY,"3569, Laguna Avenue, Dimond District, Oakland, Alameda County, California, 94602, United States"
144,-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,233100.0,NEAR BAY,"3569, Laguna Avenue, Dimond District, Oakland, Alameda County, California, 94602, United States"
145,-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,NEAR BAY,"4162, Lyman Road, Oakmore Highlands, Oakland, Alameda County, California, 94602, United States"
